_id,Collection Site,Analyte,Collection Date,Collection Time,Lab Workoder ID,Lab Sample ID,Result,Units,Detection Limit,Result Call,Method,Value Qualifier,Remark Code,_id,NAME,LOCATION,STATUS,FIRST_YR,LAST_YR,TOTAL_YRS,MISS_YRS,LATITUDE,LONGITUDE
18626,11000100702,Lead,09/20/2021,0:00:00,2982,2982003,<7,µg/L,7,BDL,E3497,<,,1077,Welland River,"River Rd,  O'Reillys Bridge, ",A,1977,2021,35,10,42.97203638816,-79.31766685645
19273,11000100702,Lead,10/18/2021,12:40:00,3321,3321003,<7,µg/L,7,BDL,E3497,<,,1077,Welland River,"River Rd,  O'Reillys Bridge, ",A,1977,2021,35,10,42.97203638816,-79.31766685645
19932,11000100702,Lead,11/22/2021,12:37:00,3914,3914003,<7,µg/L,7,BDL,E3497,<,,1077,Welland River,"River Rd,  O'Reillys Bridge, ",A,1977,2021,35,10,42.97203638816,-79.31766685645
20502,11000100702,Lead,03/22/2021,13:02:00,1030,1030003,<7,µg/L,7,BDL,E3497,<,,1077,Welland River,"River Rd,  O'Reillys Bridge, ",A,1977,2021,35,10,42.97203638816,-79.31766685645
16117,11000101202,Lead,04/19/2021,11:17:00,1246,1246001,<7,µg/L,7,BDL,E3497,<,,1082,Welland River,"Welland River,  Church St,  West Lincoln",A,2014,2021,8,0,43.02132543998,-79.61770976391
16705,11000101202,Lead,05/17/2021,11:31:00,1486,1486001,<7,µg/L,7,BDL,E3497,<,,1082,Welland River,"Welland River,  Church St,  West Lincoln",A,2014,2021,8,0,43.02132543998,-79.61770976391
17257,11000101202,Lead,06/21/2021,11:20:00,1952,1952001,<7,µg/L,7,BDL,E3497,<,,1082,Welland River,"Welland River,  Church St,  West Lincoln",A,2014,2021,8,0,43.02132543998,-79.61770976391
17892,11000101202,Lead,07/19/2021,11:28:00,2276,2276001,<7,µg/L,7,BDL,E3497,<,,1082,Welland River,"Welland River,  Church St,  West Lincoln",A,2014,2021,8,0,43.02132543998,-79.61770976391
18542,11000101202,Lead,09/20/2021,0:00:00,2982,2982001,<7,µg/L,7,BDL,E3497,<,,1082,Welland River,"Welland River,  Church St,  West Lincoln",A,2014,2021,8,0,43.02132543998,-79.61770976391
19189,11000101202,Lead,10/18/2021,11:33:00,3321,3321001,<7,µg/L,7,BDL,E3497,<,,1082,Welland River,"Welland River,  Church St,  West Lincoln",A,2014,2021,8,0,43.02132543998,-79.61770976391
19848,11000101202,Lead,11/22/2021,11:30:00,3914,3914001,<7,µg/L,7,BDL,E3497,<,,1082,Welland River,"Welland River,  Church St,  West Lincoln",A,2014,2021,8,0,43.02132543998,-79.61770976391
20418,11000101202,Lead,03/22/2021,11:35:00,1030,1030001,<7,µg/L,7,BDL,E3497,<,,1082,Welland River,"Welland River,  Church St,  West Lincoln",A,2014,2021,8,0,43.02132543998,-79.61770976391
16159,11000101302,Lead,04/19/2021,11:39:00,1246,1246002,<7,µg/L,7,BDL,E3497,<,,1083,Oswego Creek,"Oswego Creek,  Diltz Rd,  Ne Of Dunnville",A,2014,2021,8,0,42.98062531672,-79.56232769761
16747,11000101302,Lead,05/17/2021,11:56:00,1486,1486002,<7,µg/L,7,BDL,E3497,<,,1083,Oswego Creek,"Oswego Creek,  Diltz Rd,  Ne Of Dunnville",A,2014,2021,8,0,42.98062531672,-79.56232769761
17299,11000101302,Lead,06/21/2021,11:38:00,1952,1952002,<7,µg/L,7,BDL,E3497,<,,1083,Oswego Creek,"Oswego Creek,  Diltz Rd,  Ne Of Dunnville",A,2014,2021,8,0,42.98062531672,-79.56232769761
17934,11000101302,Lead,07/19/2021,11:48:00,2276,2276002,<7,µg/L,7,BDL,E3497,<,,1083,Oswego Creek,"Oswego Creek,  Diltz Rd,  Ne Of Dunnville",A,2014,2021,8,0,42.98062531672,-79.56232769761
18584,11000101302,Lead,09/20/2021,0:00:00,2982,2982002,<7,µg/L,7,BDL,E3497,<,,1083,Oswego Creek,"Oswego Creek,  Diltz Rd,  Ne Of Dunnville",A,2014,2021,8,0,42.98062531672,-79.56232769761
19231,11000101302,Lead,10/18/2021,11:52:00,3321,3321002,<7,µg/L,7,BDL,E3497,<,,1083,Oswego Creek,"Oswego Creek,  Diltz Rd,  Ne Of Dunnville",A,2014,2021,8,0,42.98062531672,-79.56232769761
19890,11000101302,Lead,11/22/2021,11:48:00,3914,3914002,<7,µg/L,7,BDL,E3497,<,,1083,Oswego Creek,"Oswego Creek,  Diltz Rd,  Ne Of Dunnville",A,2014,2021,8,0,42.98062531672,-79.56232769761
20460,11000101302,Lead,03/22/2021,11:53:00,1030,1030002,<7,µg/L,7,BDL,E3497,<,,1083,Oswego Creek,"Oswego Creek,  Diltz Rd,  Ne Of Dunnville",A,2014,2021,8,0,42.98062531672,-79.56232769761
63895,12000200402,Lead,04/20/2021,10:10:00,1244,1244001,<14,µg/L,14,BDL,E3497,<,,1091,Little Cataraqui Creek,"Princess St,  Se Of Cataraqui",A,1966,2021,56,0,44.25205988935,-76.53475697886
64880,12000200402,Lead,06/08/2021,9:45:00,1737,1737002,<7,µg/L,7,BDL,E3497,<,,1091,Little Cataraqui Creek,"Princess St,  Se Of Cataraqui",A,1966,2021,56,0,44.25205988935,-76.53475697886
65618,12000200402,Lead,07/14/2021,11:15:00,2223,2223007,<7,µg/L,7,BDL,E3497,<,,1091,Little Cataraqui Creek,"Princess St,  Se Of Cataraqui",A,1966,2021,56,0,44.25205988935,-76.53475697886
65885,12000200402,Lead,09/13/2021,9:30:00,2865,2865002,<7,µg/L,7,BDL,E3497,<,,1091,Little Cataraqui Creek,"Princess St,  Se Of Cataraqui",A,1966,2021,56,0,44.25205988935,-76.53475697886
66392,12000200402,Lead,10/25/2021,9:45:00,3405,3405002,<7,µg/L,7,BDL,E3497,<,,1091,Little Cataraqui Creek,"Princess St,  Se Of Cataraqui",A,1966,2021,56,0,44.25205988935,-76.53475697886
66899,12000200402,Lead,11/08/2021,12:00:00,3709,3709002,<7,µg/L,7,BDL,E3497,<,,1091,Little Cataraqui Creek,"Princess St,  Se Of Cataraqui",A,1966,2021,56,0,44.25205988935,-76.53475697886
63937,12000201002,Lead,04/20/2021,10:40:00,1244,1244003,<7,µg/L,7,BDL,E3497,<,,1097,Little Cataraqui Creek,"West Branch,  Development Drive",A,2014,2021,8,0,44.24082777238,-76.57908539959
64662,12000201002,Lead,05/12/2021,10:50:00,1433,1433003,<7,µg/L,7,BDL,E3497,<,,1097,Little Cataraqui Creek,"West Branch,  Development Drive",A,2014,2021,8,0,44.24082777238,-76.57908539959
64922,12000201002,Lead,06/08/2021,10:15:00,1737,1737003,<7,µg/L,7,BDL,E3497,<,,1097,Little Cataraqui Creek,"West Branch,  Development Drive",A,2014,2021,8,0,44.24082777238,-76.57908539959
65660,12000201002,Lead,07/14/2021,11:35:00,2223,2223001,<7,µg/L,7,BDL,E3497,<,,1097,Little Cataraqui Creek,"West Branch,  Development Drive",A,2014,2021,8,0,44.24082777238,-76.57908539959
65927,12000201002,Lead,09/13/2021,10:00:00,2865,2865003,<7,µg/L,7,BDL,E3497,<,,1097,Little Cataraqui Creek,"West Branch,  Development Drive",A,2014,2021,8,0,44.24082777238,-76.57908539959
66434,12000201002,Lead,10/25/2021,10:05:00,3405,3405003,<7,µg/L,7,BDL,E3497,<,,1097,Little Cataraqui Creek,"West Branch,  Development Drive",A,2014,2021,8,0,44.24082777238,-76.57908539959
66941,12000201002,Lead,11/08/2021,12:20:00,3709,3709003,<7,µg/L,7,BDL,E3497,<,,1097,Little Cataraqui Creek,"West Branch,  Development Drive",A,2014,2021,8,0,44.24082777238,-76.57908539959
64327,12000400202,Lead,04/22/2021,13:45:00,1286,1286006,<7,µg/L,7,BDL,E3497,<,,1100,Cataraqui River,"Dam At Kingston Mills Rd,  Kingston Mills",A,1966,2021,56,0,44.29378188939,-76.44104410378
64588,12000400202,Lead,05/11/2021,14:15:00,1420,1420006,<7,µg/L,7,BDL,E3497,<,,1100,Cataraqui River,"Dam At Kingston Mills Rd,  Kingston Mills",A,1966,2021,56,0,44.29378188939,-76.44104410378
65300,12000400202,Lead,06/09/2021,13:45:00,1754,1754007,<7,µg/L,7,BDL,E3497,<,,1100,Cataraqui River,"Dam At Kingston Mills Rd,  Kingston Mills",A,1966,2021,56,0,44.29378188939,-76.44104410378
65549,12000400202,Lead,07/13/2021,15:10:00,2210,2210006,<7,µg/L,7,BDL,E3497,<,,1100,Cataraqui River,"Dam At Kingston Mills Rd,  Kingston Mills",A,1966,2021,56,0,44.29378188939,-76.44104410378
66320,12000400202,Lead,09/14/2021,12:10:00,2890,2890006,<7,µg/L,7,BDL,E3497,<,,1100,Cataraqui River,"Dam At Kingston Mills Rd,  Kingston Mills",A,1966,2021,56,0,44.29378188939,-76.44104410378
66827,12000400202,Lead,10/26/2021,10:30:00,3469,3469006,<7,µg/L,7,BDL,E3497,<,,1100,Cataraqui River,"Dam At Kingston Mills Rd,  Kingston Mills",A,1966,2021,56,0,44.29378188939,-76.44104410378
67334,12000400202,Lead,11/08/2021,17:00:00,3739,3739006,<7,µg/L,7,BDL,E3497,<,,1100,Cataraqui River,"Dam At Kingston Mills Rd,  Kingston Mills",A,1966,2021,56,0,44.29378188939,-76.44104410378
67571,12000400202,Lead,03/23/2021,12:30:00,1025,1025006,<7,µg/L,7,BDL,E3497,<,,1100,Cataraqui River,"Dam At Kingston Mills Rd,  Kingston Mills",A,1966,2021,56,0,44.29378188939,-76.44104410378
64369,12000400802,Lead,04/22/2021,15:00:00,1286,1286007,<7,µg/L,7,BDL,E3497,<,,1106,Cataraqui River,"Cataraqui Rvr,  Outlet Of Devil Lake, ",A,2014,2020,7,0,44.60431161397,-76.40572863881
64285,12001700102,Lead,04/22/2021,13:00:00,1286,1286005,<7,µg/L,7,BDL,E3497,<,,1107,Gananoque River,"Trestle,  Canadian Steel,  Gananoque",A,1967,2021,55,0,44.32849738942,-76.16688547852
64547,12001700102,Lead,05/11/2021,12:00:00,1420,1420005,<7,µg/L,7,BDL,E3497,<,,1107,Gananoque River,"Trestle,  Canadian Steel,  Gananoque",A,1967,2021,55,0,44.32849738942,-76.16688547852
65258,12001700102,Lead,06/09/2021,12:45:00,1754,1754006,<7,µg/L,7,BDL,E3497,<,,1107,Gananoque River,"Trestle,  Canadian Steel,  Gananoque",A,1967,2021,55,0,44.32849738942,-76.16688547852
65507,12001700102,Lead,07/13/2021,14:30:00,2210,2210005,<7,µg/L,7,BDL,E3497,<,,1107,Gananoque River,"Trestle,  Canadian Steel,  Gananoque",A,1967,2021,55,0,44.32849738942,-76.16688547852
66278,12001700102,Lead,09/14/2021,11:30:00,2890,2890005,<7,µg/L,7,BDL,E3497,<,,1107,Gananoque River,"Trestle,  Canadian Steel,  Gananoque",A,1967,2021,55,0,44.32849738942,-76.16688547852
66785,12001700102,Lead,10/25/2021,15:30:00,3469,3469005,<7,µg/L,7,BDL,E3497,<,,1107,Gananoque River,"Trestle,  Canadian Steel,  Gananoque",A,1967,2021,55,0,44.32849738942,-76.16688547852
67292,12001700102,Lead,11/09/2021,10:15:00,3739,3739005,<7,µg/L,7,BDL,E3497,<,,1107,Gananoque River,"Trestle,  Canadian Steel,  Gananoque",A,1967,2021,55,0,44.32849738942,-76.16688547852
67529,12001700102,Lead,03/23/2021,11:45:00,1025,1025005,<7,µg/L,7,BDL,E3497,<,,1107,Gananoque River,"Trestle,  Canadian Steel,  Gananoque",A,1967,2021,55,0,44.32849738942,-76.16688547852
64159,12002700102,Lead,04/22/2021,10:15:00,1286,1286002,<7,µg/L,7,BDL,E3497,<,,1111,Larue Mills Creek,"Thousand Island Parkway,  Larue Mills",A,1972,2021,16,34,44.43318338952,-75.88353710326
64424,12002700102,Lead,05/11/2021,12:00:00,1420,1420002,<7,µg/L,7,BDL,E3497,<,,1111,Larue Mills Creek,"Thousand Island Parkway,  Larue Mills",A,1972,2021,16,34,44.43318338952,-75.88353710326
65132,12002700102,Lead,06/09/2021,9:20:00,1754,1754003,<7,µg/L,7,BDL,E3497,<,,1111,Larue Mills Creek,"Thousand Island Parkway,  Larue Mills",A,1972,2021,16,34,44.43318338952,-75.88353710326
65381,12002700102,Lead,07/13/2021,11:30:00,2210,2210002,<7,µg/L,7,BDL,E3497,<,,1111,Larue Mills Creek,"Thousand Island Parkway,  Larue Mills",A,1972,2021,16,34,44.43318338952,-75.88353710326
66152,12002700102,Lead,09/14/2021,10:20:00,2890,2890002,<7,µg/L,7,BDL,E3497,<,,1111,Larue Mills Creek,"Thousand Island Parkway,  Larue Mills",A,1972,2021,16,34,44.43318338952,-75.88353710326
66659,12002700102,Lead,10/26/2021,9:10:00,3469,3469002,<7,µg/L,7,BDL,E3497,<,,1111,Larue Mills Creek,"Thousand Island Parkway,  Larue Mills",A,1972,2021,16,34,44.43318338952,-75.88353710326
67166,12002700102,Lead,11/09/2021,7:30:00,3739,3739002,<7,µg/L,7,BDL,E3497,<,,1111,Larue Mills Creek,"Thousand Island Parkway,  Larue Mills",A,1972,2021,16,34,44.43318338952,-75.88353710326
67403,12002700102,Lead,03/23/2021,9:30:00,1025,1025002,<7,µg/L,7,BDL,E3497,<,,1111,Larue Mills Creek,"Thousand Island Parkway,  Larue Mills",A,1972,2021,16,34,44.43318338952,-75.88353710326
64243,12003100102,Lead,04/22/2021,11:50:00,1286,1286004,<7,µg/L,7,BDL,E3497,<,,1112,Lyn Creek,"Cnty Rd 2,  1Km W. Of Sherwood Springs",A,1986,2021,36,0,44.5251040146,-75.80519547818
64506,12003100102,Lead,05/11/2021,10:30:00,1420,1420004,<7,µg/L,7,BDL,E3497,<,,1112,Lyn Creek,"Cnty Rd 2,  1Km W. Of Sherwood Springs",A,1986,2021,36,0,44.5251040146,-75.80519547818
